zip_best,State,complaint_count,zip,pop,pop_white,pop_black_or_aa,pop_ai_or_an,pop_asian,pop_nh_or_opi,pop_other,pop_multiple,pop_hol,pop_not_hol,income_mean_household_dollars,Cluster
10926,NY,21,10926,3909.0,1873.0,555.0,24.0,335.0,5.0,407.0,446.0,932.0,2713.0,104889.0,1
10927,NY,61,10927,12286.0,2943.0,1245.0,205.0,285.0,12.0,5419.0,2214.0,8758.0,3565.0,89444.0,1
10928,NY,11,10928,5208.0,2740.0,624.0,68.0,122.0,3.0,524.0,556.0,1163.0,3474.0,94236.0,1
10930,NY,34,10930,10326.0,5929.0,800.0,69.0,540.0,11.0,1012.0,970.0,2021.0,7310.0,133524.0,3
10931,NY,3,10931,1131.0,412.0,138.0,52.0,48.0,1.0,127.0,189.0,295.0,672.0,90047.0,1
10933,NY,4,10933,401.0,377.0,23.0,0.0,3.0,0.0,22.0,20.0,58.0,387.0,99250.0,1
10940,NY,462,10940,51853.0,22252.0,10789.0,586.0,2068.0,29.0,10200.0,6879.0,18977.0,33826.0,88840.0,0
10941,NY,102,10941,14502.0,7333.0,2963.0,109.0,659.0,1.0,1597.0,1887.0,3861.0,10688.0,98671.0,1
10950,NY,575,10950,63011.0,42720.0,2135.0,217.0,1276.0,23.0,12593.0,3777.0,7206.0,55535.0,95494.0,0
10950,None,1,10950,63011.0,42720.0,2135.0,217.0,1276.0,23.0,12593.0,3777.0,7206.0,55535.0,95494.0,0
10952,NY,672,10952,47509.0,41588.0,1881.0,101.0,753.0,7.0,1759.0,1337.0,1714.0,45712.0,81616.0,0
10952,None,1,10952,47509.0,41588.0,1881.0,101.0,753.0,7.0,1759.0,1337.0,1714.0,45712.0,81616.0,0
10954,NY,149,10954,27587.0,12888.0,3126.0,86.0,3236.0,7.0,2728.0,2177.0,5137.0,19111.0,130104.0,3
10956,NY,116,10956,30738.0,21182.0,2472.0,91.0,3866.0,6.0,2216.0,2666.0,4937.0,27562.0,173129.0,3
10958,NY,6,10958,2925.0,2511.0,335.0,5.0,109.0,0.0,255.0,347.0,626.0,2936.0,110324.0,1
10960,NY,49,10960,14222.0,8681.0,2686.0,55.0,645.0,3.0,1073.0,1537.0,2472.0,12208.0,149622.0,3
10962,NY,11,10962,5125.0,3342.0,189.0,12.0,771.0,3.0,329.0,403.0,714.0,4335.0,158187.0,3
10963,NY,3,10963,4347.0,2424.0,618.0,21.0,161.0,0.0,202.0,237.0,690.0,2973.0,106162.0,1
10965,NY,26,10965,15666.0,12875.0,260.0,28.0,569.0,2.0,694.0,914.0,1654.0,13688.0,140428.0,3
10968,NY,1,10968,2474.0,1829.0,76.0,5.0,189.0,5.0,125.0,206.0,288.0,2147.0,147394.0,3
10969,NY,1,10969,999.0,972.0,41.0,11.0,31.0,0.0,108.0,119.0,207.0,1075.0,141872.0,3
10970,NY,76,10970,11571.0,5811.0,1957.0,39.0,678.0,4.0,1633.0,1089.0,2854.0,8357.0,108973.0,1
10973,NY,3,10973,2388.0,1614.0,91.0,12.0,56.0,0.0,92.0,188.0,306.0,1747.0,129084.0,3
10974,NY,49,10974,3335.0,2457.0,186.0,16.0,114.0,1.0,345.0,276.0,597.0,2798.0,118324.0,1
10975,NY,4,10975,246.0,183.0,22.0,0.0,2.0,0.0,33.0,27.0,61.0,206.0,73786.0,1
